Time;GroupID;ItemsFound;Score;TotalTrials;isRobot
13:03:28;4298110;0;0;20;0
13:03:28;4298110;2;30;80;0
13:03:28;4298110;4;60;68;0
13:03:28;4298110;12;1440;24;0
13:03:28;4298110;11;915;69;0
13:03:28;4298110;11;915;112;0
15:11:07;4418606;8;120;64;0
15:11:07;4418606;7;105;85;0
15:11:07;4418606;7;105;62;0
15:11:07;4418606;4;60;61;0
15:11:07;4418606;8;120;78;0
15:11:07;4418606;2;30;86;0
14:40:00;4887372;21;3895;92;0
14:40:00;4887372;13;2415;102;0
14:40:00;4887372;12;880;89;0
14:40:00;4887372;18;2650;57;0
14:40:00;4887372;0;0;50;0
14:40:00;4887372;1;15;2;0
14:52:36;4898816;9;135;85;0
14:52:36;4898816;4;60;43;0
14:52:36;4898816;5;75;49;0
14:52:36;4898816;9;135;51;0
14:52:36;4898816;9;135;80;0
14:52:36;4898816;9;135;58;0
14:55:39;4926163;7;105;96;0
14:55:39;4926163;8;120;58;0
14:55:39;4926163;0;0;70;0
14:55:39;4926163;3;45;31;0
14:55:39;4926163;4;60;89;0
14:55:39;4926163;3;45;50;0
14:35:31;5019267;11;2035;66;0
14:35:31;5019267;7;425;98;0
14:35:31;5019267;2;30;14;0
14:35:31;5019267;10;2020;100;0
14:35:31;5019267;11;2035;70;0
14:35:31;5019267;12;2050;89;0
14:49:43;5079754;0;0;0;0
14:49:43;5079754;23;4775;79;0
14:49:43;5079754;23;4775;97;0
14:49:43;5079754;18;1710;75;0
